    최고화질 대박 큰 QLED TV로 단추 꼬맹이를 속일 수 있을까??  ,41:24:00,"54,234","2,613",2019. 4. 30.,https://www.youtube.com/watch?v=PY1NsyWUXtw&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=2&t=0s
    대도서관 피아노 선생님 대청자 드립에 라이브 중 방송사고?!  ,13:03,"25,476",663,2019. 4. 24.,https://www.youtube.com/watch?v=4Pb72lWbkL8&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=3&t=0s
    끝까지 시청한 당신이야말로 진정한 대청자! 대도서관 쌩라이브 모음!  ,1:21:27,"57,605","1,623",2019. 4. 14.,https://www.youtube.com/watch?v=BH3apo_8kv8&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=4&t=0s
    대도가 하지원씨 광고 촬영 현장을 급습한 사연은?!  ,28:46:00,"162,750","2,704",2019. 4. 13.,https://www.youtube.com/watch?v=laqPNRnsycg&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=5&t=0s
    에이핑크 보미와 함께 하는 넥슨의 야심작 트라하 합동방송 풀버전 (TRAHA)  ,1:21:27,"176,828",889,2019. 4. 11.,https://www.youtube.com/watch?v=01JyTRoj6Vk&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=6&t=0s
    돼지갈비 무한리필 집에서 제대로 뽕 뽑는 법?!  ,22:04,"237,957","2,456",2019. 4. 5.,https://www.youtube.com/watch?v=T0BmQff29a8&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=7&t=0s
    tvN 드라마 '자백'이 배경인 방 탈출 게임? 주연배우들과 함께 깨러갔습니다  ,36:50:00,"31,635",895,2019. 3. 23.,https://www.youtube.com/watch?v=c8oc5EWT_fA&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=9&t=0s
    날아가는 의자에 앉아 오버워치 리그 관람하기  ,42:39:00,"497,468","5,260",2019. 3. 22.,https://www.youtube.com/watch?v=7SS7Cb_M2X0&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=10&t=0s
    톡톡이 사탕에 콜라를 싸서 드셔보세요!  ,32:46:00,"52,347","1,451",2019. 3. 21.,https://www.youtube.com/watch?v=Nd-aMvjgpzQ&list=PLyOJ5ZNIl-zBuedDlwSMrtg_3pK7EAaai&index=11&t=0s
    삼성동 1타 운전강사가 알려주는 후방주차의 모든 것!  ,21:10,"2,106",233,2019. 5. 1.,https://www.youtube.com/watch?v=aWhO6HsGnCg&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=2&t=0s
    어벤져스 엔드게임 보기 전 반드시 알아야 할 꿀팁!  ,13:51,"83,015","1,743",2019. 4. 26.,https://www.youtube.com/watch?v=Di-A6YLBhH8&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=3&t=0s
    AOMG에서 새로운 멤버를 뽑는다고?!  ,3:08,"40,188","1,136",2019. 4. 23.,https://www.youtube.com/watch?v=Ya0FIF1t1YU&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=4&t=0s
    게임중독이 질병? 게임은 하나의 문화일 뿐!  ,5:52,"41,716","1,610",2019. 4. 21.,https://www.youtube.com/watch?v=I_gu5U6Uaho&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=5&t=0s
    가족한테 운전연수를 받으면 생길 수 있는 일들!!  ,3:49,"40,551","1,099",2019. 4. 19.,https://www.youtube.com/watch?v=VN1qO1Z9ybA&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=6&t=0s
    17금 리얼리티는 넘치는 생생한 건강검진 후기!  ,12:09,"45,082","1,306",2019. 4. 17.,https://www.youtube.com/watch?v=rmoxL42mRQ0&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=7&t=0s
    대권도에 입문하세요! 새로운 제자들은 언제나 환영입니다!  ,14:51,"41,474","1,256",2019. 4. 13.,https://www.youtube.com/watch?v=sgpiOafImRc&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=8&t=0s
    강원도 산불 피해에 작지만 보탬이 되길 바랍니다  ,39:02:00,"39,656","2,043",2019. 4. 12.,https://www.youtube.com/watch?v=krcpgDcP88w&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=9&t=0s
    듣고 싶은 사람은 없고 부르고 싶은 사람만 있는 콘서트!  ,42:39:00,"47,676","1,720",2019. 4. 8.,https://www.youtube.com/watch?v=-YAk_U4y7eA&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=10&t=0s
    엉클대도 대표가 요즘 고민에 빠져있는 것은?  ,3:25,"44,778","1,239",2019. 4. 7.,https://www.youtube.com/watch?v=KCzZyEmxQ88&list=PLyOJ5ZNIl-zDos60wx74FgZRvMbGayGv5&index=11&t=0s
    [K-food] 외국에서 화제가 된 한국식 치즈 핫도그! 달대포차도 할 수 있지 않을까?!  ,11:28,"11,862",796,2019. 4. 27.,https://www.youtube.com/watch?v=q4mrlI23Z6U&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=2&t=0s
    [조합꿀팁★] 어벤져스에 아이스크림을 섞는다면?! 탄산수 맛있게 먹는 방법   ,11:28,"10,989",653,2019. 4. 26.,https://www.youtube.com/watch?v=1BtlhRuyEoE&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=3&t=0s
    [스포주의] 어벤져스 콜라 11종 다 모았습니다! 이걸로 엔드게임 결말 예측?!  ,13:51,"15,150",656,2019. 4. 22.,https://www.youtube.com/watch?v=HZ3Wj6VVvyo&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=4&t=0s
    [버터김치찌개] 김치찌개 + 버터 + 우유 = 환상의 궁합?!  ,10:03,"19,017","1,291",2019. 4. 20.,https://www.youtube.com/watch?v=gXqJ1ESZYbg&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=5&t=0s
"    [혼요그릴] 혼밥러, 혼술러 모여라! 한 번에 3가지 요리를 동시에?!  ",11:28,"19,445","1,290",2019. 4. 18.,https://www.youtube.com/watch?v=0D_qLV6LKX0&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=6&t=0s
    [블랙데이] 직접 뽑은 면으로 짜장면 만들기! 솔로들을 위한 수제 간짜장   ,11:17,"25,770","1,399",2019. 4. 13.,https://www.youtube.com/watch?v=0bgLrpkeZcc&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=7&t=0s
    [미공개 파일 공개] 달콤대도_회식에서_있었던_일.mp4  ,11:28,"30,127","1,152",2019. 4. 9.,https://www.youtube.com/watch?v=LqdKUb_WlUI&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=8&t=0s
    [달대포차 6일차] 엉클대도 직원들의 야식 메뉴에 도전한다!  ,11:28,"19,901",966,2019. 4. 7.,https://www.youtube.com/watch?v=6OM67LcXwBM&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=9&t=0s
    [반반리뷰] 30만 원 룸서비스 VS. 2만 9천 원 룸서비스 전격 비교!  ,10:03,"64,889","1,503",2019. 4. 5.,https://www.youtube.com/watch?v=Q58-lw4WwlE&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=10&t=0s
    [혼술대도] 아무 생각 없이 보면 되는 치맥 특집!     ,10:01,"17,450",990,2019. 4. 1.,https://www.youtube.com/watch?v=rqciEdkx2f0&list=PLyOJ5ZNIl-zDWjdwxYgcZrMvBrtv_yYey&index=11&t=0s
    대도서관 리와인드] 엉클린대도 부동산 사기당한 썰!!!  ,20:21,"77,947","1,692",2019. 4. 28.,https://www.youtube.com/watch?v=nWvNBg6EXDg&list=PLyOJ5ZNIl-zA2ZdoXH7Lad2kPUER-zp_q&index=2&t=0s
    대도서관 리와인드] 만취한 아저씨 집 돌려보내는 게임!  ,6:22,"53,684","1,580",2019. 4. 22.,https://www.youtube.com/watch?v=lfiA7cmgW-8&list=PLyOJ5ZNIl-zA2ZdoXH7Lad2kPUER-zp_q&index=3&t=0s
    대도서관 리와인드] 대도가 운영하는 농장이 망한 이유?! 파밍시뮬레이터 레전드 모음!  ,22:04,"71,238","1,544",2019. 4. 21.,https://www.youtube.com/watch?v=eHKdF25vymQ&list=PLyOJ5ZNIl-zA2ZdoXH7Lad2kPUER-zp_q&index=4&t=0s
    대도서관 리와인드] 소울류만 하면 피지컬 폭발! 세키로 신컨 모음!  ,31:22:00,"40,545",549,2019. 4. 20.,https://www.youtube.com/watch?v=FNNn5SSR7Gk&list=PLyOJ5ZNIl-zA2ZdoXH7Lad2kPUER-zp_q&index=5&t=0s
    대도서관 리와인드] 3분으로 맛보는 멘탈 털림의 현장!!!  ,1:05:28,"50,596","1,536",2019. 4. 18.,https://www.youtube.com/watch?v=XmCly8o9Qf4&list=PLyOJ5ZNIl-zA2ZdoXH7Lad2kPUER-zp_q&index=6&t=0s
    대도서관 리와인드] 평범한 동네 이장이 사실은 시간여행자라면?!  ,22:04,"58,940","1,628",2019. 4. 15.,https://www.youtube.com/watch?v=1A3DY_atCLo&list=PLyOJ5ZNIl-zA2ZdoXH7Lad2kPUER-zp_q&index=7&t=0s
    대도서관 리와인드] 오늘도 평화로운 충남 텍사스 운전교실  ,22:04,"74,412","2,468",2019. 4. 6.,https://www.youtube.com/watch?v=gUGeuL6bnYU&list=PLyOJ5ZNIl-zA2ZdoXH7Lad2kPUER-zp_q&index=8&t=0s
